dt_year_month,ap_group_name,user_count,upload_bytes,download_bytes,session_time
201907,환경성질환예방관리센터,319,1549001500,4348720545,1475207
201907,효돈초등학교(북),7378,9255018819,1.17974E+11,10761721
201908,20코스,5725,21043008390,79786575948,24171162
201908,2코스,3173,2816471690,58139416138,6730510
201908,GS25 대포점,1749,587638412,4685598188,976055
201908,KT성산포지점,10220,2051757262,12965398604,4624652
201908,강창학B구장,140,253252607,6322259664,641564
201908,교래자연휴양림,3661,30341621223,2.1858E+11,27509848
201908,남원 동부보건소,4996,4523480493,58241514344,6226852
201908,남원읍4,5039,8523101278,69602355366,2269158
201908,남원읍5,1807,2518473153,52246715734,3969459
201908,노형근린공원,15850,5585866200,64927062231,65202692
201908,노형우체국,26392,10924415182,92910167511,96060652
201908,노형제1근린공원,6970,5235411372,49340487266,28522028
201908,노형초등학교,43180,13803271423,1.08759E+11,140597878
201908,대림2차아파트,14638,4764069653,51394461249,56039572
201908,문예회관(전기차),11271,2148161832,20714950346,39176719
201908,백록초등학교,1895,1054564079,5680921320,5378520
201908,보건환경연구원,747,1257438924,13378598349,2877445
201908,사라봉공원(충혼각),2026,804120655,7202072330,7258855
201908,삼무공원,72629,41333319987,3.36516E+11,235054562
201908,삼성여자고등학교(북),16463,4836564930,49066467450,4887275
201908,상효원,247,1908929965,23941260547,2300464
201908,서귀포서부도서관,16269,73488173236,1.56775E+12,42957135
201908,서귀포시외버스터미날,13406,40458107787,2.36262E+11,11763649
201908,서귀포전천후게이트볼장,5234,1665623419,10256733009,4036256
201908,성산읍4,14146,8731027482,70061426959,3875290
201908,성산포항,7093,16448067012,1.58485E+11,9260772
201908,성읍랜드,3810,9745703845,30772875916,2749639
201908,성읍민속마을-가로등,2569,9959826160,1.41797E+11,8361776
201908,성읍민속마을-종탑,1542,1086239953,18529811979,1797612
201908,시민회관,22702,30925533900,2.18557E+11,94973561
201908,시외버스터미널,9653,6887968389,54742261435,7276586
201908,신비의도로(도깨비도로),2382,16770814614,34755025420,7409309
201908,신흥리(마을입구) 함덕고등학교(남),7489,6738033942,46940836877,24263356
201908,안덕계곡,3134,1436597350,11356325710,2683333
201908,안덕면5,5659,1906365838,29146467096,3121125
201908,안덕면사무소,1311,5829082000,32585121939,1665537
201908,안덕우체국 뒤 주차장,1135,1658446340,28713631343,1974565
201908,알프스얼음보석궁전,242,1303284659,37125450309,2111801
201908,애월119센터,4909,1659806675,24411375513,17925811
201908,약천사,1268,11080502322,1.07682E+11,4088879
201908,엉또폭포,728,3896583138,9661150005,1522441
201908,에코랜드테마파크,2827,9717227361,44934945886,10379520
201908,연동주민센터,33752,14244813669,89578988950,145556007
201908,외도구획정리지구,4239,1884952928,23289203253,15834655
201908,용담레포츠공원,2716,1074903097,11338877071,9733101
201908,용문마을회관(버스),6772,1278055565,5494024101,22817510
201908,우도-하우목동항,5069,25996302328,1.29912E+11,10316372
201908,이중섭거리,8521,52418290501,2.25849E+11,16292222
201908,일우 한란 아파트,2547,1936716734,25656647642,7737592
201908,"전쟁역사박물관 (구,평화박물관)",278,1374072364,5459498461,1770993
201908,절물자연휴양림,3849,39194385634,1.94812E+11,49498527
201908,정방폭포,3229,28890411576,2.83092E+11,8849218
201908,제주4․3평화공원,994,5624347112,27045198851,4467126
201908,제주공항 입구 공영주차장,62,30731739,859938760,227972
201908,제주도의회,7229,2049303339,25668727391,24894766
201908,제주시 평생학습센터,5037,3841469075,24014044620,17191373
201908,제주시자치경찰단,1221,1146745743,12800802282,6008254
201908,제주중앙고등학교,3226,1332376182,9903043839,8718778
201908,제주중앙여자고등학교(교통섬),9318,987755509,8014164663,28917744
201908,조천읍2,6278,4026136808,19340817966,20874833
201908,조천읍사무소,3665,2301996681,32346179798,14315313
201908,조천체육관,3688,13346334572,1.40675E+11,16934328
201908,중문·색달해변,4700,52417083283,1.66079E+11,13919390
201908,중문초등학교(북),217,57979566,809805968,72219
201908,중앙로사거리,8761,5376873156,63564299271,7515216
201908,천지연폭포,8543,1.17286E+11,3.49109E+11,26285973
201908,칠성로 쇼핑거리,31591,32409738962,1.87735E+11,116809490
201908,카멜리아힐,1412,17125015270,1.27176E+11,4385852
201908,탐라장애인 종합복지관,41107,9056866167,72972422200,112369385
201908,토이파크,3147,21020669434,1.12213E+11,7174591
201908,포니벨리,1142,2180743566,26335186212,2119495
201908,퐁낭 작은 도서관 앞 공영주차장(비석거리),17552,4827414008,72682082817,10356369
201908,하귀초등학교,1367,1061945312,7756776469,4365779
201908,한경면3,1632,612209976,4197561309,5098172
201908,한경체육관,1607,2132245426,43376221253,7434425
201908,한국병원,13791,3111308569,30577441197,43276376
201908,한림읍1,2315,127572376,668727725,8220075
201908,한울랜드(화석.연박물관),164,1285643056,7520536498,868332
201908,함덕농협지소(북),46522,25211985202,1.83212E+11,128090879
201908,함덕비석거리(남),11698,6452139521,35610359342,36453194
201909,18코스,3109,7821304161,31129162526,11787287
201909,19코스,8135,11343228879,2.17971E+11,22901983
201909,21코스,1464,2746777110,15692334569,6184077
201909,8코스,2509,4901746380,36926657946,8020387
201909,걸매생태공원,13155,2805310735,68062327318,12273805
201909,곽지과물해변,2738,13315790916,31553169620,8147330
201909,교육박물관,1232,387623107,7220554718,2465970
201909,구좌읍4,1899,914727307,8251257603,7943542
201909,구좌체육관,939,1944867452,14397973021,2895890
201909,금능으뜸원 해변,4598,36323130831,1.04873E+11,64297105
201909,남원읍 공영주차장,2900,263035568,2667716457,3862780
201909,노형근린공원,14111,5937029623,44199525129,65338872
201909,노형동주민센터,7293,1872341416,18249192117,26308297
201909,노형오거리,65672,24979246260,2.14449E+11,168570407
201909,노형우체국,23841,7648236367,67814496191,93626984
201909,노형초등학교,43321,17601373775,1.45812E+11,142392816
201909,도남공원,1926,1613504187,25643932059,7786301
201909,디지탈플랜,8,0,0,33164
201909,메이즈랜드,726,3321017253,18889037485,3223813
201909,모슬포중앙시장,9245,1616460056,29581423041,16846616
201909,무오법정사,133,233372073,4067892764,608038
201909,베니스랜드,93,343134742,142027335,245738
201909,보목하수처리장,665,336618704,5581881553,3324615
201909,부영아파트(LH으뜸마을),3668,4831824946,50504246617,10990921
201909,산방산,4099,3485838272,10224459106,9226199
201909,삼양동선사유적,1206,314306516,5031713958,2285450
